station,longitude,latitude
Beijing,116.39824999999998,40.045975000000006
Tianjin,117.32216666666666,39.07768333333333
Shijiazhuang,114.49317142857144,38.033628571428565
Tangshan,118.18291666666666,39.64495333333334
Qinhuangdao,119.606875,39.93625
Handan,114.51387499999998,36.60786
Baoding,115.4852,38.876266666666666
Zhangjiakou,114.90085,40.80275
Chengde,117.92774,40.96416
Langfang,116.7151,39.52605
Cangzhou,116.87156666666668,38.31576666666667
Hengshui,115.6761,37.744800000000005
Xingtai,114.506675,37.0771
Taiyuan,112.509,37.8489
Huhehaote,111.66738571428571,40.80768571428571
Dalian,121.62808148888888,38.95904567888889
Shanghai,121.45294433333332,31.210789
Nanjing,118.7745,32.0488
Suzhou,119.52118,32.002930000000006
Nantong,120.8786,31.99044
Lianyungang,119.176,34.5885
Xuzhou,117.23046000000002,34.260400000000004
Yangzhou,119.3965,32.39305
Wuxi,120.28957142857143,31.570185714285717
Changzhou,119.94533333333334,31.7911
Zhenjiang,119.53366666666666,32.1784
Taizhou,120.62981666666668,30.54818333333333
Huaian,119.03584,33.58214
Yancheng,120.16633333333334,33.39703333333333
Suqian,118.3072,33.9517
Hangzhou,120.0819090909091,30.21117272727272
Ningbo,121.62942857142858,29.8667
Shaoxing,120.605,29.9919
Huzhou,120.07,30.8244
Jiaxing,120.735,30.7712
Jinhua,119.6665,29.08995
Quzhou,118.86566666666668,28.960433333333334
Lishui,119.90766666666666,28.444366666666667
Hefei,117.2478,31.848240000000004
Nanchang,115.873075,28.702825
Jinan,117.00885,36.6576
Qingdao,120.36067142857142,36.14881428571428
Zhengzhou,113.66537142857143,34.760628571428576
Wuhan,114.2870125,30.5767625
Zhangsha,112.98363,28.205220000000004
Zhongqing,106.50192307692306,29.617815384615387
Chengdou,104.002,30.7155
Xian,108.99450909090908,34.30269090909091
Lanzhou,103.86275,36.0405
Yinchuan,106.1066,38.53423333333333
Baotou,109.90826666666668,40.627783333333326
Eerduosi,109.90196,39.72498
Huludao,120.864825,40.7384
Laiwu,117.6789,36.2289
Linyi,118.3286,35.04769999999999
Liaocheng,115.98415,36.4584
Binzhou,117.9952,37.37833333333333
Zibo,118.02022000000002,36.75354
Zaozhuang,117.51355,34.806025
Yantai,121.36026666666667,37.5074
Weifang,119.15213333333332,36.72526666666667
Jining,116.59023333333332,35.41543333333333
Taian,117.11326666666666,36.18806666666666
Rizhao,119.49195,35.4206
Dongying,118.5019,37.4658
Heze,115.45083066666666,35.25212966666667
Datong,113.31258,40.0977
